catalog_id,name,biopsy_id,sample_id,sample_lookup_name,source_group,model1_rank,model1_score,model1_evidence,model1_mature_date,model1_immature_date,model1_older_than_count,model1_younger_than_count,model1_basis,model2_rank,model2_score,model2_evidence,model2_mature_date,model2_immature_date,model2_older_than_count,model2_younger_than_count,model2_basis,model3_rank,model3_score,model3_evidence,model3_mature_date,model3_immature_date,model3_older_than_count,model3_younger_than_count,model3_basis,model3_birth_year_anchor_date,model3_immature_plus_15_mature_date,model3_last_evidence_date,rank_change_model1_to_model2,movement_model1_to_model2,rank_change_model2_to_model3,movement_model2_to_model3,rank_change_model1_to_model3,movement_model1_to_model3,current_view_rank,rank_note
1237,Yvet,1031,BI130,Yvet,MPRF,9,0,none,,,0,0,,61,-12,immature,,2015-10-05,0,12,MPRF provided age class immature,61,-12,immature,,2015-10-05,0,12,MPRF provided age class immature,,2030-10-05,2024-10-05,-52,Moved younger/lower,0,No rank change,-52,Moved younger/lower,33,
1085,LouLou,1025,BI124,LouLou,MPRF,9,0,none,,,0,0,,62,-13,immature,,2016-12-11,0,13,MPRF provided age class immature,62,-13,immature,,2016-12-11,0,13,MPRF provided age class immature,,2031-12-11,2024-12-11,-53,Moved younger/lower,0,No rank change,-53,Moved younger/lower,44,
1144,Pu'uwai,1050,BI149,Pu'uwai,MPRF,9,0,none,,,0,0,,62,-13,immature,,2017-07-13,0,13,MPRF provided age class immature,62,-13,immature,,2017-07-13,0,13,MPRF provided age class pup,2017-07-13,2032-07-13,2024-07-13,-53,Moved younger/lower,0,No rank change,-53,Moved younger/lower,47,
1070,Laur-Ray,1003,BI102,Laur-Ray,MPRF,9,0,none,,,0,0,,64,-14,immature,,2017-10-06,0,14,MPRF provided age class immature,64,-14,immature,,2017-10-06,0,14,MPRF provided age class pup,2017-10-06,2032-10-06,2022-10-06,-55,Moved younger/lower,0,No rank change,-55,Moved younger/lower,67,
946,Brady Ray,1042,BI141,Brady,MPRF,9,0,none,,,0,0,,65,-15,immature,,2018-04-09,0,15,MPRF provided age class immature,65,-15,immature,,2018-04-09,0,15,MPRF provided age class immature,,2033-04-09,2025-04-09,-56,Moved younger/lower,0,No rank change,-56,Moved younger/lower,53,
1146,Queenie,1014,BI113,Queenie,MPRF,9,0,none,,,0,0,,65,-15,immature,,2018-04-23,0,15,MPRF provided age class immature,65,-15,immature,,2018-04-23,0,15,MPRF provided age class pup,2018-04-23,2033-04-23,2025-04-23,-56,Moved younger/lower,0,No rank change,-56,Moved younger/lower,67,
713,Black Diamond MP288,1032,BI131,Black Diamond,MPRF,9,0,none,,,0,0,,67,-18,immature,,2019-06-26,0,18,MPRF provided age class immature,67,-18,immature,,2019-06-26,0,18,MPRF provided age class pup,2019-06-26,2034-06-26,2024-06-26,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,57,
986,Fritz,1047,BI146,Fritz,MPRF,9,0,none,,,0,0,,67,-18,immature,,2018-11-24,0,18,MPRF provided age class immature,67,-18,immature,,2018-11-24,0,18,MPRF provided age class immature,,2033-11-24,2024-11-24,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,55,
1062,Koen,1024,BI123,Koen,MPRF,9,0,none,,,0,0,,67,-18,immature,,2018-11-18,0,18,MPRF provided age class immature,67,-18,immature,,2018-11-18,0,18,MPRF provided age class pup,2018-11-18,2033-11-18,2024-11-18,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,55,
1074,Leslie Ray,1039,BI138,Leslie,MPRF,9,0,none,,,0,0,,67,-18,immature,,2020-02-20,0,18,MPRF provided age class immature,67,-18,immature,,2020-02-20,0,18,MPRF provided age class pup,2020-02-20,2035-02-20,2025-02-20,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,67,
1088,Magdala,1051,BI150,Magdala,MPRF,9,0,none,,,0,0,,67,-18,immature,,2020-03-23,0,18,MPRF provided age class immature,67,-18,immature,,2020-03-23,0,18,MPRF provided age class immature,,2035-03-23,2025-03-23,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,67,
1099,Manta Baby,1040,BI139,Manta Baby,MPRF,9,0,none,,,0,0,,67,-18,immature,,2020-02-18,0,18,MPRF provided age class immature,67,-18,immature,,2020-02-18,0,18,MPRF provided age class pup,2020-02-18,2035-02-18,2025-02-18,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,60,
1102,Manta Ria,1013,BI112,Manta Ria,MPRF,9,0,none,,,0,0,,67,-18,immature,,2020-04-05,0,18,MPRF provided age class immature,67,-18,immature,,2020-04-05,0,18,MPRF provided age class pup,2020-04-05,2035-04-05,2022-11-05,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,41,
1145,Quarantina,1002,BI101,Quarantina,MPRF,9,0,none,,,0,0,,67,-18,immature,,2020-03-29,0,18,MPRF provided age class immature,67,-18,immature,,2020-03-29,0,18,MPRF provided age class pup,2020-03-29,2035-03-29,2024-03-29,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,80,
1169,Russ,1053,BI152,Russ,MPRF,9,0,none,,,0,0,,67,-18,immature,,2019-11-12,0,18,MPRF provided age class immature,67,-18,immature,,2019-11-12,0,18,MPRF provided age class pup,2019-11-12,2034-11-12,2024-11-12,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,60,
1181,Shea Ray,1022,BI121,Shea,MPRF,9,0,none,,,0,0,,67,-18,immature,,2020-01-03,0,18,MPRF provided age class immature,67,-18,immature,,2020-01-03,0,18,MPRF provided age class pup,2020-01-03,2035-01-03,2025-01-03,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,67,
1218,Vegemite,1046,BI145,Vegemite,MPRF,9,0,none,,,0,0,,67,-18,immature,,2020-06-14,0,18,MPRF provided age class immature,67,-18,immature,,2020-06-14,0,18,MPRF provided age class immature,,2035-06-14,2020-12-14,-58,Moved younger/lower,0,No rank change,-58,Moved younger/lower,53,
