output_filename,pk_catalog_id,gender,age_class,population,storage_path,photo_uuid,fk_catalog_id,pk_photo_id
649_Male_Juvenile_Oahu.jpg,649,Male,Juvenile,Oahu,photos-5204-5204.jpg,1da5537d-22a5-4c3d-afba-a4620508e313,649,5204
650_Male_Adult_Oahu.jpg,650,Male,Adult,Oahu,photos-5205-5205.jpg,9bcfacaf-2c28-4895-ab59-25f45fef53bc,650,5205
651_Male_Juvenile_Oahu.jpg,651,Male,Juvenile,Oahu,photos-5206-5206.jpg,4fa4ba25-6592-471f-9949-0fa32aeb2b30,651,5206
652_Female_Unknown_Oahu.jpg,652,Female,Unknown,Oahu,photos-5207-5207.jpg,a26d65de-5b94-4361-a438-8d6be047ea83,652,5207
653_Female_Unknown_Oahu.jpg,653,Female,Unknown,Oahu,photos-5208-5208.jpg,a2a046cf-0b26-4145-8f76-b7c8b2fd8471,653,5208
654_Female_Unknown_Oahu.jpg,654,Female,Unknown,Oahu,photos-5209-5209.jpg,bba9897f-4382-4478-81a1-fdec6cf629b2,654,5209
655_Female_Unknown_Oahu.jpg,655,Female,Unknown,Oahu,photos-5210-5210.jpg,cbff80a6-dd65-4b1d-9372-d4ac20327d47,655,5210
656_Female_Unknown_Oahu.jpg,656,Female,Unknown,Oahu,photos-5211-5211.jpg,123ac13f-a94d-40d0-96f6-050835ab646c,656,5211
657_Female_Unknown_Oahu.jpg,657,Female,Unknown,Oahu,photos-5212-5212.jpg,2281cae7-ab29-4275-8d1a-d56a86f08d47,657,5212
658_Female_Unknown_Oahu.jpg,658,Female,Unknown,Oahu,photos-5213-5213.jpg,64a258b2-9b0d-4da3-905a-e55f955dcc32,658,5213
659_Female_Unknown_Oahu.jpg,659,Female,Unknown,Oahu,photos-5214-5214.jpg,a7923b6d-5756-48d5-bfeb-5569f60bfacd,659,5214
660_Female_Unknown_Oahu.jpg,660,Female,Unknown,Oahu,photos-5215-5215.jpg,6cb85f85-4906-40f6-85cd-8200f916a137,660,5215
661_Female_Unknown_Oahu.jpg,661,Female,Unknown,Oahu,photos-5216-5216.jpg,eb1767b8-350b-4df1-9d9a-32ea342d26db,661,5216
662_Female_Unknown_Oahu.jpg,662,Female,Unknown,Oahu,photos-5217-5217.jpg,d38875b7-0f72-4fd0-9d78-b2c50ebe1ab9,662,5217
663_Female_Unknown_Oahu.jpg,663,Female,Unknown,Oahu,photos-5218-5218.jpg,15722dd5-586b-42e4-971e-4472db3bdad7,663,5218
664_Female_Unknown_Oahu.jpg,664,Female,Unknown,Oahu,photos-6507-6507.jpg,05542e1b-3623-4a46-92f8-224a0bc5bf73,664,6507
665_Female_Unknown_Oahu.jpg,665,Female,Unknown,Oahu,photos-5220-5220.jpg,e0cd1284-cb59-4e17-b81c-da2c45dd262e,665,5220
677_Male_Adult_Oahu.jpg,677,Male,Adult,Oahu,photos-5237-5237.jpg,3301c2ab-3413-4fd7-963b-ac747833d2d8,677,5237
678_Male_Adult_Oahu.jpg,678,Male,Adult,Oahu,photos-6813-6813.jpg,895b4fcd-678e-4ee5-ac79-ae9ee3e4db81,678,6813
